time,cam_x,cam_y
9.95211,890.371,1017.51
10.0838,888.988,1015.96
10.1489,890.371,1017.51
10.2801,888.186,1013.23
10.3448,888.186,1013.23
10.4752,888.186,1013.23
10.6069,890.371,1017.51
10.672,888.988,1015.96
10.7412,889.362,1017.33
10.8054,888.988,1015.96
10.8711,888.988,1015.96
10.9399,889.362,1017.33
11.0051,888.988,1015.96
11.0693,888.988,1015.96
11.1352,891.318,1017.75
11.2012,890.325,1017.54
11.2669,891.318,1017.75
11.3321,890.325,1017.54
11.3975,891.318,1017.75
11.4638,889.982,1016.16
11.5296,890.325,1017.54
11.5949,890.701,1018.92
11.7286,890.748,1018.89
11.7932,890.325,1017.54
11.8589,890.325,1017.54
11.9247,890.325,1017.54
12.1234,890.325,1017.54
12.1886,889.362,1017.33
12.2542,890.325,1017.54
12.3184,890.325,1017.54
12.3842,888.988,1015.96
12.4494,890.701,1018.92
12.5141,891.695,1019.13
12.5799,890.325,1017.54
12.6481,889.362,1017.33
13.4985,892.658,1019.36
13.5647,896.156,1017.09
13.6295,900.63,1018.59
13.697,907.439,1020.13
13.7648,916.131,1020.35
13.8331,926.06,1021.82
13.8998,935.37,1022.65
14.0327,957.768,1025.23
14.0983,970.546,1025.55
16.135,1897.57,1060.08
16.265,1929.91,1060.6
16.3961,1949.87,1060.6
16.4645,1955.55,1060.75
16.5961,1952.84,1060.1
16.6648,1952.84,1060.1
16.7305,1952.84,1060.1
16.7969,1952.57,1061.2
16.8632,1952.57,1061.2
16.9287,1952.57,1061.2
16.9936,1952.57,1061.2
17.0594,1952.57,1061.2
17.124,1952.57,1061.2
17.1904,1952.57,1061.2
17.2564,1952.57,1061.2
17.3216,1952.57,1061.2
17.39,1952.57,1061.2
17.4546,1954.65,1060.51
17.52,1954.36,1061.6
17.5858,1956.97,1062.71
17.6506,1957.66,1063.56
17.7159,1958.74,1063.13
17.8491,1959.98,1065.74
17.9145,1960.13,1068.78
17.9799,1961.2,1068.33
18.1779,1960.09,1072.74
18.3767,1958.34,1075.84
18.4429,1956.62,1078.93
18.5087,1954.5,1079.66
18.5739,1955.54,1082.91
18.6402,1952.9,1085.81
18.7056,1953.08,1085.18
18.7712,1950.75,1086.98
18.8371,1950.7,1087
18.9023,1948.78,1090.76
18.9687,1948.5,1091.73
19.0332,1945.83,1094.76
19.1015,1944.81,1095.09
19.1671,1943.44,1096.59
19.2989,1940.03,1098.71
19.365,1936.25,1102.03
19.4306,1935.35,1101.81
19.496,1933.43,1101.89
19.5612,1930.53,1101.93
19.6944,1926.62,1102.2
19.7601,1929.66,1105.28
19.8893,1928.83,1115.82
20.0197,1929.41,1124.82
20.0846,1930.17,1129.26
20.1501,1931.13,1136.73
20.2158,1932.69,1141.91
20.2809,1933.98,1148.26
20.3468,1936.45,1153.66
20.4143,1938.32,1157.72
20.4803,1938.98,1162.75
20.5456,1940.89,1170.53
20.6115,1942.61,1171.45
20.6769,1944.33,1176.19
20.7429,1943.57,1175.35
20.8088,1942.36,1176.3
20.8746,1940.85,1178.39
20.9412,1937.79,1178.94
21.0087,1937.31,1180.73
21.1394,1934.73,1179.47
21.2062,1933.33,1181.06
21.2718,1932.89,1179.03
21.3373,1934.73,1179.47
21.4029,1933.05,1182.2
21.4685,1935.97,1182.17
21.5331,1938.27,1184.64
21.6015,1938.9,1186
21.6686,1941.54,1187.16
21.7338,1941.58,1190.88
21.7999,1945.28,1191.7
21.865,1946.64,1193.92
21.9304,1949.94,1196.46
21.9956,1949.63,1197.62
22.0631,1947.66,1201.6
22.1291,1945.81,1201.17
22.1935,1944.79,1201.5
22.2595,1944.78,1201.48
22.3273,1942.45,1202.87
22.3942,1940.01,1204.78
22.4567,1937.86,1205.55
22.5222,1936.33,1207.7
22.5865,1937.45,1207.23
22.6522,1939.29,1207.67
22.7172,1940.22,1207.87
22.7827,1941.32,1211.28
22.8488,1942.42,1210.87
22.9134,1944.89,1212.68
22.9787,1946.28,1214.94
23.0449,1949.53,1213.73
23.1765,1950.18,1215.15
23.2453,1954.21,1218.54
23.3108,1952.35,1218.1
23.3775,1950.67,1220.93
23.4436,1948.82,1220.49
23.5099,1948.53,1221.68
23.5762,1949.91,1220.04
23.642,1945.74,1221.04
23.7088,1945.39,1218.47
23.7735,1943.24,1219.23
23.8398,1942.21,1219.52
23.9708,1940.04,1220.33
24.1663,1942.06,1223.95
24.2315,1944.25,1226.95
24.2966,1946.12,1227.38
24.3627,1948.16,1227.15
24.4247,1950.16,1230.79
24.4931,1952.04,1231.21
24.5586,1952.04,1231.21
24.6242,1951.27,1230.37
24.6893,1948.96,1231.76
24.7554,1948.47,1229.75
24.821,1946.97,1231.92
24.8862,1945.85,1232.32
24.9523,1945.85,1232.32
25.0143,1946.97,1231.92
25.2785,1946.97,1231.92
25.3442,1948.87,1236.1
25.4109,1947.69,1240.86
25.4767,1947.9,1247.89
25.6078,1948.77,1268.38
25.6726,1950.14,1278.91
25.7374,1949.68,1292.9
25.9367,1952.11,1336.28
27.244,1984.45,1849.27
27.4403,1987.03,1884.38
27.5705,1987.23,1888.76
27.636,1987.57,1887.18
27.7009,1987.57,1887.18
27.766,1987.57,1887.18
27.8975,1987.76,1886.15
28.0285,1987.76,1886.15
28.6862,1978.87,1880.94
29.2097,1973.69,1863.61
29.6648,1970.72,1851.63
30.0528,1972.28,1839.17
30.3115,1973.58,1833.07
30.4426,1974.22,1830.02
30.5067,1971.48,1832.61
30.5732,1970.42,1832.4
31.032,1961.1,1839.93
31.0971,1961.1,1839.93
31.1633,1957.39,1841.78
31.2932,1956.74,1844.84
31.5599,1953.24,1845.69
31.8916,1951.97,1836.36
32.2173,1949.65,1836.86
32.5468,1946.9,1844.31
32.6113,1946.46,1846.36
32.7408,1943.41,1845.15
32.8721,1942.23,1845.48
32.9394,1940.47,1843.47
33.6567,1936.7,1840.47
34.117,1932.19,1845.92
34.8327,1929.93,1841.14
35.229,1922,1846.93
35.424,1921.61,1843.61
35.4897,1921.64,1843.63
35.5548,1918.35,1843.45
35.7507,1919.14,1835.02
35.8818,1918.3,1833.81
35.9493,1918.3,1833.81
36.0147,1916.18,1833.35
36.6037,1904.26,1841.99
36.7344,1902.28,1845.86
36.8659,1897.92,1850.32
36.9315,1897.92,1850.32
36.9968,1897.92,1850.32
37.4509,1891.56,1839.27
39.0751,1864.7,1844.71
43.8269,916.705,1748.9
44.1596,927.59,1757.71
45.0731,916.891,1731.78
45.1402,919.293,1731.91
46.1143,917.649,1716.23
46.2429,916.275,1697.33
46.4416,908.656,1662.56
46.5071,909.468,1647.36
48.0772,845.473,1103.55
48.1418,846.389,1101.92
48.5235,846.389,1101.92
48.7205,846.389,1101.92
49.8998,846.389,1101.92
50.4171,846.389,1101.92
52.1166,846.389,1101.92
52.5749,846.389,1101.92
52.7065,846.389,1101.92
